year,month,day=  2019 11  2
lat, East lon.=   -45.871153182  170.502067992
 11580.0  0.035582  0.010704  0.138738
 11640.0  0.035616  0.010435  0.138926
 11700.0  0.035649  0.010166  0.139108
 11760.0  0.035681  0.009897  0.139285
 11820.0  0.035712  0.009628  0.139457
 11880.0  0.035743  0.009358  0.139623
 11940.0  0.035772  0.009087  0.139784
 12000.0  0.035800  0.008817  0.139939
 12060.0  0.035827  0.008546  0.140089
 12120.0  0.035853  0.008274  0.140233
 12180.0  0.035878  0.008003  0.140372
 12240.0  0.035902  0.007731  0.140506
 12300.0  0.035925  0.007459  0.140633
 12360.0  0.035948  0.007186  0.140756
 12420.0  0.035969  0.006914  0.140873
 12480.0  0.035989  0.006641  0.140984
 12540.0  0.036008  0.006367  0.141090
 12600.0  0.036026  0.006094  0.141190
 12660.0  0.036043  0.005821  0.141285
 12720.0  0.036059  0.005547  0.141374
 12780.0  0.036074  0.005273  0.141458
 12840.0  0.036088  0.004999  0.141536
 12900.0  0.036101  0.004725  0.141608
 12960.0  0.036113  0.004450  0.141675
 13020.0  0.036124  0.004176  0.141737
 13080.0  0.036134  0.003901  0.141793
 13140.0  0.036143  0.003627  0.141844
 13200.0  0.036151  0.003352  0.141889
 13260.0  0.036158  0.003077  0.141928
 13320.0  0.036163  0.002802  0.141962
 13380.0  0.036168  0.002527  0.141990
 13440.0  0.036172  0.002253  0.142013
 13500.0  0.036175  0.001978  0.142030
 13560.0  0.036177  0.001703  0.142042
 13620.0  0.036177  0.001428  0.142048
 13680.0  0.036177  0.001153  0.142049
 13740.0  0.036176  0.000878  0.142044
 13800.0  0.036174  0.000604  0.142033
 13860.0  0.036170  0.000329  0.142017
 13920.0  0.036166  0.000054  0.141996
 13980.0  0.036161 -0.000220  0.141969
 14040.0  0.036155 -0.000494  0.141936
 14100.0  0.036147 -0.000769  0.141898
 14160.0  0.036139 -0.001043  0.141855
 14220.0  0.036130 -0.001317  0.141806
