"user","screen_name","follows"
"47207737","EricCrampton",209
"27578546","nullary",75
"119282289","Sicabi",1
"14938599","judyfnz",6
"1062883773082034182","NZPOPASSN",19
"1376981","jduckles",33
"1283715992","kiltannen",4
"706179548824494080","mariking79",1
"107587891","cuttingkindling",20
"144498030","AADI_87",1
"2385911","RDiva",90
"18707777","sminnee",44
"53546115","parnelandr",13
"1254834595","robertpreseau",1
"2732754859","OnlyB2B",1
"13372872","porges",13
"748004768","AmyJoseph_NZ",21
"1036880455440588802","TheNikitaDSouza",1
"722582924369874944","OliverCWatkins",5
"82549909","VishOnAMish",56
"286480462","fabtknz",8
"923720796454862850","doqan_ee_yere",2
"84018435","JoshuaWithers",1
"986885688342671360","OurTreesNZ",5
"22492607","konarkmodi",2
"1068303691533344768","HappyEvilSlosh",6
"16694523","curiouskiwicat",19
"1054622836814299136","NZGovtGoogles",24
"53297251","RachelMorris",11
"2364499357","rchiboy101",4
"361525512","KieranWalker4",0
"857347689213603840","scijournofund",50
"1961457913","LyndaRuthPrice",5
"1321717740","Dayangzhouren",19
"114551597","PublicationsPro",65
"759902954371461122","chrisdnn101",18
"297922390","superbwilly",4
"322976025","DavidClarkNZ",197
"50943883","James_T_Guthrie",16
"28627382","richardram",25
"2884863562","coughlthom",197
"2470450844","RobJStewartNZ",119
"22750287","john_holley",102
"2290280388","SusanCarchedi",26
"859579562149027841","spil030",33
"633596200","moar_moar",17
"3302334966","jordanh9187",1
"17266253","_steveadams",42
"2443575204","thomasmanch",58
"16570847","GTRoberts",7
"537820733","MightyMark3",5
"2678218393","fuzzyshortz",4
"3838052303","LiddallTraci",70
"7313482","mpeel",9
"318652644","speakingclealy",7
"69238248","pccourt",10
"757385125604667392","SoulCat_NZ",4
"17201795","BettyAhau",73
"364106332","tefoden",2
"881200310538170369","WombleKiwi",20
"14441863","NateFaanana",6
"37397635","GarthBray",74
"766365","suselore",22
"68111443","grahamsurrey",8
"51581031","kylemacd",138
"44588100","bootstheory",201
"28686378","Thomas_Tank",1
"3300973626","judysuthrlandnz",20
"239728303","neeko1979",16
"1734001","klepas",9
"199629730","AnneGoulding",22
"318904285","ShakingStick",249
"17844595","vgood79",5
"2424320270","blitzmunter",2
"1108622630989361152","ElizaJaneAgain",39
"17353768","ellenstrickland",118
"579421602","AndrewRiseley",1
"58854454","JoshForde",92
"348349467","SteveHWrathall",9
"1170131172","jh_arch",53
"2907803737","Vast_Maze",3
"35282645","KiwiBoyUS",1
"8077672","maetl",100
"376440468","adklepto",6
"391341586","Caleb_Speak",105
"24586517","koshrecords",76
"1080233756802265088","samckenzie2",2
"41260179","LizzieMaguire",23
"1106457450654228481","BikerChiwi",35
"261611036","kiwi_kali",26
"250328446","bedebignell",3
"898691","gnat",273
"1108561417978806272","projectlovenz",64
"35734082","jonathanreid1",2
"2180224129","cjhood71",37
"14814061","IThinkALot",2
"55374931","moridesamoped",6
"14450533","pickledog47",31
"7743912","krisis",9
"25256022","yoiks",3
"1027942309","peaceprone",21
"3261135252","deathhairball",1
"77615176","TeresaWuMD",1
"18474477","gverissi",1
"170244875","sam_atk_308",1
"359188534","simongerman600",134
"1007192254505598976","Jonikarose1",10
"16883821","securitysteve",4
"808783204270256128","terencewoodnz",10
"951167080170221570","etfminer",1
"224561190","BenForShore",10
"3604053793","MrJKirwan",37
"325943527","DanReilly74",1
"61833122","carlishganzino",6
"593602654","DamianWelsh2",1
"2435967874","KkKestutis",7
"752340906","BlueDrink9",1
"925399790506184705","IS_GEOCommunity",2
"324756237","dmarcelinobr",1
"3126860279","sebheyneman",2
"3895191793","GovStatistician",162
"3313829478","J3_SSC",5
"2174978828","LukeHolman_Evo",6
"2640061767","bossykong",1
"209312180","naaanz",46
"119306257","kiwipod",4
"739328855496761344","excham_",1
"1023497524072644614","LearnVizWithMe",9
"261974816","CS_NZ",60
"50943610","JennyKayNZ",169
"4176856575","danmcollins500",4
"334461893","EmilyRiederer",55
"69190199","tveastman",100
"807017491163557889","NathanHuberts",1
"21363507","cushlat",29
"35411884","nmoorenz",14
"320176393","ChristianJudge",8
"107345085","ardrigh",22
"131146812","blacklightpix",10
"46531626","dashching",44
"268125963","m_onlein",26
"223504938","anthromarc",13
"30178731","HORansome",90
"28739480","fillupt",9
"15652982","ben_r",66
"407989337","1JamieScott",6
"188548423","MikeDKwine",7
"61928324","julianlarralde",1
"2998089738","shagility",16
"114954183","jgarrigan10",0
"85743765","Liza_Bolton",151
"2539076280","DSDigital_Info",4
"1055571692750159872","sextoymartnz",2
"76864662","eloquentsonia",105
"1069083118563483648","Kellyad97313219",1
"864121621","Trumpyman2",1
"88954020","dasrotrad",2
"108881273","hwericsatie",1
"968389179653619712","Journocoders_id",1
"28928777","mossnz",50
"23920597","edith832009",0
"2566454377","najjariafef",1
"764698304030531584","1CommonReader",35
"127800555","Schalenmann",1
"513351911","favstats",30
"47104940","bauscaus",1
"19377827","petergnz",190
"17175594","duaneg00",3
"4109714718","andersen_ellen",58
"98171356","jeffpcarpenter",3
"1063370274123538432","MartinChauke8",2
"36904661","Clarabel_H",9
"601066170","MethodAppraisal",1
"242904917","sgeoviz",4
"117205672","EdaDenizOzdemir",1
"921447541597712385","diginokrat",0
"197963530","kylehqcom",5
"17989072","y011",9
"3741276132","SixteenOhms",1
"34150919","JessesMum",8
"18207788","EdNZ",104
"33125243","Jayniehaka",66
"2496088364","CyberShambles",7
"43081148","aaronjrose",1
"501297578","__fincham",28
"66895067","iokiwi",7
"47242486","xiw",5
"183144705","questfour",1
"325855980","callumvalentine",32
"1481500988","nz_walker",14
"2598878335","nzdnc",44
"23565903","katie_pai",36
"147406561","MaramaDavidson",397
"103516223","mdsumner",60
"341771044","DrJinRussell",54
"12483732","pblakez",4
"771535644984094721","fcpcolo",2
"976221724126531584","nickdaleburns",2
"53274513","Lingering_Llama",7
"3243291776","MayoNaCl",1
"1054998912342388736","SzeYingLeong1",1
"20477596","dznz",75
"771205072675942401","YAA_SJZ",4
"535741011","ajlichtsteiner",2
"1289961704","dumpark",50
"885514115644407808","DataLabs89",3
"38803426","EricaJWilkinson",2
"839590144378187777","CathyNotti",12
"114463040","bmwhocking",13
"1004503276518137856","Tom_Bcgh",57
"909681612698279936","b4tski",1
"2740954608","docdanz007",61
"528911288","e_heritage",33
"63035222","teh_aimee",177
"915312823655211008","vote4kaki",25
"734619841","wilsearle",1
"1014769285028200448","AntjeLibrarian",12
"1044810131421233152","LettersForPale1",5
"2896049204","nzmrichards",72
"456061444","adudding",85
"102894757","THEchiQ",18
"135065698","hendysh",232
"941076980375547904","birdoftheyear",59
"444239599","opetheater",21
"3677851349","mattgordon80",5
"75988677","KevinHicksNZ",2
"181909635","MaryStGeorge",61
"1414106382","CCSMonash",2
"208256535","JuliaVeitch",2
"21087434","PiRXlv",1
"154410513","kieronlawson",1
"2327513795","henry_inglis",1
"14431080","electrik",10
"970807516350234624","Stephen37472243",8
"941114852893974529","SethBorko",1
"706962334002978816","juliehowardnz",11
"543925082","KorimakoEcology",85
"1016607934913089537","MusicalBlockchn",1
"225704106","kiwiana10",19
"61711622","thewmcg",2
"54428895","andrewl_nz",11
"2452944394","WookeyRachael",0
"80428539","nzgwynn",13
"730137269588217856","NickMcVerry",8
"2655523207","bertnigel",5
"29956547","CleverJames",12
"17353083","francistill",29
"281648251","franks_lawyer",60
"778754706197782528","luke_hiscox",17
"967384485925982208","I99666",2
"2603782453","KoniniSt",23
"703035906530217984","yeahnahbro55",65
"2529531283","danbloomer1",12
"895160194086428672","shiddedfarded",4
"316303686","jrooneyfox",6
"2452211","brettroberts",59
"29291964","tomthebomber",2
"1266583591","LuxIgnisStylus",10
"150088639","Mikiwis",7
"3024816888","MeatMechSuit",30
"37279091","dialogCRM",65
"878000666018406400","CLRenney",3
"782895752","HenareHoward",12
"29818828","Ncikaroa",7
"742096901760114689","bex_stevenson",175
"1010414661768867841","Tok_Stylz886",3
"20277941","FranOSullivan",160
"247909219","AngusFHawkins",0
"800810986009526272","brewybrewy",9
"2336428064","julianajones89",3
"65204691","SarahTrotmannz",74
"257170736","GarethHVaughan",66
"28684838","ThomedySci",198
"914671564607672320","ApropoSensible",1
"36256235","nzdrug",173
"48272647","typovino",2
"965203200","BarsemaMaria",2
"492503940","BFranzmayr",11
"852071354689961984","IanMacvv",1
"909296851022602240","nz_weathergirl",7
"21059525","Granthod",37
"2740849320","Harmes_and_Legs",4
"590717291","NicolaPatrickNZ",79
"4100317093","tiekemanu",29
"18229592","ClareYFletcher",6
"9372442","onemouse",19
"1433246138","benreynoldsnz",12
"4760086358","Anneliestbk",18
"2225322663","semihdst",0
"49316865","genetis",37
"4052034013","birdsongnz",55
"762100968494247937","ricarduscaseus",8
"31817243","auck_lander",6
"33788841","dakvid",23
"162658982","zJPz",1
"3195616518","gfjrobinson",4
"3313753214","CraigSconsult",1
"19325469","torshin",61
"467106293","LeighPearson2",3
"21174233","davidchoat",32
"207327608","AmyKCT",6
"730850751854092290","airguitarfixer",7
"706600485222948866","reuben_mcnair",2
"1624202768","zitanbroth",8
"356519184","MarcusBuckland",16
"24491152","BenJStrang",50
"6299722","powareverb",10
"43850471","WebAsh",8
"194837416","WillPollard",17
"50264379","rbtcollins",19
"17076895","creativebizliz",4
"4340411113","steventhebrown",1
"17356969","iamkey",36
"28217332","moylea",70
"24016742","droneale",94
"862625536475934720","transient_jin",1
"213140827","duncanjoanna",1
"2597476640","a_son_of_a_gunn",14
"35420359","petertaylornz",5
"20013795","jamespmoriarty",3
"882063431787888641","radejardine",16
"27639211","SPChamberlain",10
"2470132844","ira_bailey",17
"173424405","williamtuckey",3
"546606060","SuzanneRobins1",69
"14489394","mayhemmad",15
"719900887","surayacasey",4
"1118686711","gavjroma",5
"966064189230821377","mac_mckenna",0
"2446628427","stephen_keown",0
"497723013","CarlosMCorderoB",23
"50516677","SteveHodgeNZ",2
"2295675888","TNorcliffe",10
"136743228","kentferg",1
"188676325","oneforthedr",227
"4414851","vim",12
"374207625","templetonf",80
"120291058","Yunnycakes",4
"28768308","drdeanknight",121
"835608507311255552","kendrashortmw",2
"2519125616","imprintedlegacy",1
"19513280","Kumeugirl",25
"15819092","suburban_ennui",32
"2907678602","AccessGrantedNZ",88
"113799543","kaupapa",223
"14635385","newimprovedtom",146
"134967348","tcs0",34
"2492277644","donal_curtin",53
"971727302051713026","Keiffth",2
"1037820482","64",32
"2549227039","SarahJaneParton",75
"97769756","sarahhbickerton",218
"92475907","vicwray",59
"22000414","squashypigeon",6
"219065164","Xeronema",35
"867817525433835521","SpotsOnTheStove",10
"24605515","resurrecti0nman",1
"278013385","sejwatson",9
"1022236612808208384","politicsofbass",18
"14958021","bluevibestudio",13
"634330179","FOMNZ",43
"91747771","justinekem",1
"879500310","AucklandIsland",95
"26656785","adikohler",34
"234226460","SecretChimp",4
"22731900","WFLBC",2
"879770323968602112","imaginemyrelief",21
"16728098","mhjb",37
"204465647","robhosking",186
"2780261748","lomupolitics",16
"29584161","AndrewPL",13
"810129767299215360","tigergirl78",1
"1011429920931643392","citizenai_nz",52
"21328225","Rem0teMeth0d",1
"35555248","DrCuriosity",82
"848967542","keerthi_43",1
"3400371394","WilmerGBBiology",1
"1418775740","freezascom",1
"210365012","DVilliers",1
"4891025429","finlibash",20
"1851147889","iamSimon_A",13
"742191368794046466","NickGoodall_CL",22
"15861221","ShotbyRobins",12
"1014061879000330240","btbnz",26
"54046833","watyuki",1
"924307956","dan_brunskill",8
"91479243","C_J_Fitzpatrick",2
"2874525186","gendepont",10
"16591790","mojohealy",5
"2841717738","matrixstylez",3
"15929466","julielandry",46
"16525618","melmac21",51
"748786913440468993","Bn05526204",1
"2218567849","MatthewRussellS",46
"20762748","andywhitenz",35
"288630137","vlcnz",97
"61448184","intheologus",9
"424660228","microphen",1
"17603342","blairglubb",10
"56922540","robynnuthall",83
"225296551","applefeijoa",2
"805950542283304965","water_safety_nz",10
"901230103555735557","nap_the_rap",2
"1726664881","mrbarnabyb",231
"17721033","HenryBarnard_",9
"3442587746","__BLiP",12
"422914439","NZecowarrior",63
"96954044","beckeleven",261
"173430971","lukepeacocke",5
"135803049","Rrk310",1
"1576218529","JonatBASS",13
"10119272","TristanRS",62
"26411643","hindins",7
"18997192","pm323",18
"220577562","Dave9840",16
"3168325451","GoodMapBadMap",20
"28770754","zendokai",3
"15932807","billyfung",9
"799878880152592385","PowderPuffPlay",51
"2724597409","ellis2013nz",174
"392055035","coletanea4",1
"15157481","FerCagua",8
"455836497","JohanGaltung",3
"66993","sbisson",9
"17492561","yortw",27
"878034803026673668","RossTrendlock",9
"15358348","nikkiusher",10
"150200975","ThomasHaig",86
"3215879897","NaveedZFarooqui",0
"337796168","LeonASalter",21
"16539754","xurizaemon",47
"3038666106","MurrayCadzow",12
"1666632181","KaneFleury",31
"11073952","SarahLibrarina",91
"16751477","Mykuhl",34
"2857902194","9ftnina",8
"24784552","marianitalindis",1
"36888407","M_Cropp",67
"75734047","JulianWoodhouse",32
"263048486","nicgaston",225
"899054803","matdome",3
"381418158","raquelxmoss",63
"233184782","kairakau50",13
"18573621","mellopuffy",144
"33178160","rtse999",6
"122854842","andresalerno",1
